"Site","IslandName","SiteName","MarineReserve","MeanDepth__m_","LoggerDepth__m_","Latitude__Deg_N_","Longitude__Deg_W_","StartYear","Video"
1,"San Miguel Island","Wyckoff Ledge","Outside",13.18885638,13,34.02236667,-120.3874667,1982,"http://marinemap.org/kfm_videos/SMWL%202009.mp4"
2,"San Miguel Island","Hare Rock","Inside",6.248475981,5,34.06438333,-120.3566,1982,"http://marinemap.org/kfm_videos/SMHR%202009.mp4"
3,"Santa Rosa Island","Johnson's Lee North","Outside",10.11338698,11,33.90146667,-120.1029667,1982,"http://marinemap.org/kfm_videos/SRJLNO%202009.mp4"
4,"Santa Rosa Island","Johnson's Lee South","Outside",14.24042916,13,33.89753333,-120.10075,1982,"http://marinemap.org/kfm_videos/SRJLSO%202009.mp4"
5,"Santa Rosa Island","Rodes Reef","Outside",13.64575713,13,34.03261667,-120.107,1983,"http://marinemap.org/kfm_videos/SRRR%202009.mp4"
6,"Santa Cruz Island","Gull Island South","Inside",15.84979273,15,33.94966667,-119.8275833,1982,"http://marinemap.org/kfm_videos/SCGI%202009.mp4"
7,"Santa Cruz Island","Fry's Harbor","Outside",12.4420873,13,34.05635,-119.75515,1982,"http://marinemap.org/kfm_videos/SCFH%202009.mp4"
8,"Santa Cruz Island","Pelican Bay","Outside",6.501463058,8,34.03488333,-119.7030833,1982,"http://marinemap.org/kfm_videos/SCPB%202009.mp4"
9,"Santa Cruz Island","Scorpion Anchorage","Inside",4.710436479,5,34.04798333,-119.5514,1982,"http://marinemap.org/kfm_videos/SCSA%202009.mp4"
10,"Santa Cruz Island","Yellow Banks","Outside",15.4444038,15,33.98983333,-119.5630667,1986,"http://marinemap.org/kfm_videos/SCYB%202009.mp4"
11,"Anacapa Island","Admiral's Reef","Outside",13.52109242,16,34.00775,-119.4343833,1982,"http://marinemap.org/kfm_videos/ANAR%202009.mp4"
12,"Anacapa Island","Cathedral Cove","Inside",8.062058035,6,34.01586667,-119.3717333,1982,"http://marinemap.org/kfm_videos/ANCC%202009.mp4"
13,"Anacapa Island","Landing Cove","Inside",7.391489881,5,34.01703333,-119.3611333,1982,"http://marinemap.org/kfm_videos/ANLC%202009.mp4"
14,"Santa Barbara Island","SE Sea Lion Rookery","Inside",13.13399171,15,33.46611667,-119.0277833,1982,"http://marinemap.org/kfm_videos/SBSESL%202009.mp4"
15,"Santa Barbara Island","Arch Point","Outside",7.564618386,8,33.48753333,-119.0275833,1982,"http://marinemap.org/kfm_videos/SBAP%202009.mp4"
16,"Santa Barbara Island","Cat Canyon","Outside",7.897159229,8,33.46441667,-119.0391667,1986,"http://marinemap.org/kfm_videos/SBCAT%202009.mp4"
21,"San Miguel Island","Miracle Mile","Outside",8.395818093,"NA",34.0237,-120.3951333,2001,"http://marinemap.org/kfm_videos/SMMM%202009.mp4"
22,"Santa Rosa Island","Cluster Point","Outside",13.81675201,12,33.92303333,-120.1873667,2005,"http://marinemap.org/kfm_videos/SRCP%202009.mp4"
23,"Santa Rosa Island","Trancion Canyon","Inside",12.85722994,9,33.90855,-120.1555333,2005,"http://marinemap.org/kfm_videos/SRTC%202009.mp4"
24,"Santa Rosa Island","Chickasaw","Inside",11.15581565,10,33.90036667,-120.1356667,2005,"http://marinemap.org/kfm_videos/SRCSAW%202009.mp4"
25,"Santa Rosa Island","South Point","Inside",12.52465862,13,33.89233333,-120.1195,2005,"http://marinemap.org/kfm_videos/SRSP%202009.mp4"
26,"Santa Cruz Island","Devil's Peak Member","Outside",11.72107413,13,34.04488333,-119.6012667,2005,"http://marinemap.org/kfm_videos/SCDPM%202009.mp4"
27,"Santa Cruz Island","Potato Pasture","Inside",11.27773714,11,34.05216667,-119.5821167,2005,"http://marinemap.org/kfm_videos/SCPP%202009.mp4"
28,"Santa Cruz Island","Cavern Point","Inside",12.19214826,13,34.05428333,-119.5668667,2005,"http://marinemap.org/kfm_videos/SCCVP%202009.mp4"
29,"Santa Cruz Island","Little Scorpion","Outside",11.52706657,11,34.04415,-119.54245,2005,"http://marinemap.org/kfm_videos/SCLS%202009.mp4"
30,"Santa Cruz Island","Pedro Reef","Outside",9.060899781,9,34.03836667,-119.5253,2005,"http://marinemap.org/kfm_videos/SCPRF%202009.mp4"
31,"Anacapa Island","Keyhole","Inside",9.033162643,11,34.01641667,-119.4320167,2005,"http://marinemap.org/kfm_videos/ANKH%202009.mp4"
32,"Anacapa Island","East Fish Camp","Outside",11.6102475,11,34.0045,-119.3857833,2005,"http://marinemap.org/kfm_videos/ANEFC%202009.mp4"
33,"Anacapa Island","Black Sea Bass Reef","Inside",16.20946111,17,34.0126,-119.3891833,2005,"http://marinemap.org/kfm_videos/ANBSBR%202009.mp4"
34,"Anacapa Island","Lighthouse","Outside",8.506766642,8,34.0141,-119.3590167,2005,"http://marinemap.org/kfm_videos/ANLH%202009.mp4"
35,"Santa Barbara Island","Webster's Arch","Outside",14.68599122,14,33.47985,-119.0622,2005,"http://marinemap.org/kfm_videos/SBWA%202009.mp4"
36,"Santa Barbara Island","Graveyard Canyon","Inside",11.62612777,13,33.47306667,-119.0268167,2005,"http://marinemap.org/kfm_videos/SBGC%202009.mp4"
37,"Santa Barbara Island","Southeast Reef","Inside",11.80413314,11,33.46293333,-119.0312667,2005,"http://marinemap.org/kfm_videos/SBSER%202009.mp4"

